WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
loss,Sage Northcutt,13,0,0,1,Welterweight,SUB  Rear Naked Choke,2,1:40,Mickey Gall vs. Sage Northcutt,1,Mickey Gall,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Urijah Faber,70,5,1,4,Bantamweight,U-DEC,3,5:00,Urijah Faber vs. Brad Pickett,2,Brad Pickett,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Brad Pickett,18,1,0,0,Bantamweight,U-DEC,3,5:00,Urijah Faber vs. Brad Pickett,2,Urijah Faber,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Alan Jouban,69,2,0,0,Welterweight,U-DEC,3,5:00,Alan Jouban vs. Mike Perry,3,Mike Perry,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Mike Perry,37,0,0,0,Welterweight,U-DEC,3,5:00,Alan Jouban vs. Mike Perry,3,Alan Jouban,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Paul Craig,31,1,3,3,Light Heavyweight,SUB  Armbar,2,1:59,Paul Craig vs. Henrique da Silva,4,Henrique da Silva,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Henrique da Silva,16,1,0,0,Light Heavyweight,SUB  Armbar,2,1:59,Paul Craig vs. Henrique da Silva,4,Paul Craig,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Mizuto Hirota,57,6,0,6,Featherweight,U-DEC,3,5:00,Mizuto Hirota vs. Cole Miller,5,Cole Miller,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Cole Miller,21,0,0,0,Featherweight,U-DEC,3,5:00,Mizuto Hirota vs. Cole Miller,5,Mizuto Hirota,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Bryan Barberena,41,0,0,0,Welterweight,U-DEC,3,5:00,Colby Covington vs. Bryan Barberena,6,Colby Covington,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Colby Covington,76,12,0,3,Welterweight,U-DEC,3,5:00,Colby Covington vs. Bryan Barberena,6,Bryan Barberena,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Alex Morono,111,0,0,0,Welterweight,U-DEC,3,5:00,Alex Morono vs. James Moontasri,7,James Moontasri,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,James Moontasri,46,0,0,0,Welterweight,U-DEC,3,5:00,Alex Morono vs. James Moontasri,7,Alex Morono,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Scott Holtzman,65,3,0,1,Lightweight,U-DEC,3,5:00,Josh Emmett vs. Scott Holtzman,8,Josh Emmett,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Josh Emmett,87,8,1,2,Lightweight,U-DEC,3,5:00,Josh Emmett vs. Scott Holtzman,8,Scott Holtzman,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Irene Aldana,108,1,0,0,Women's Bantamweight,U-DEC,3,5:00,Leslie Smith vs. Irene Aldana,9,Leslie Smith,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Leslie Smith,169,0,0,0,Women's Bantamweight,U-DEC,3,5:00,Leslie Smith vs. Irene Aldana,9,Irene Aldana,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Takeya Mizugaki,13,0,0,0,Bantamweight,KO/TKO  Punches,1,3:04,Eddie Wineland vs. Takeya Mizugaki,10,Eddie Wineland,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Eddie Wineland,9,0,0,0,Bantamweight,KO/TKO  Punches,1,3:04,Eddie Wineland vs. Takeya Mizugaki,10,Takeya Mizugaki,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Fredy Serrano,22,0,0,0,Flyweight,U-DEC,3,5:00,Hector Sandoval vs. Fredy Serrano,11,Hector Sandoval,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Hector Sandoval,33,2,2,0,Flyweight,U-DEC,3,5:00,Hector Sandoval vs. Fredy Serrano,11,Fredy Serrano,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Sultan Aliev,15,2,0,3,Welterweight,S-DEC,3,5:00,Sultan Aliev vs. Bojan Velickovic,12,Bojan Velickovic,2016-12-17,UFC Fight Night: VanZant vs. Waterson
loss,Bojan Velickovic,22,0,1,1,Welterweight,S-DEC,3,5:00,Sultan Aliev vs. Bojan Velickovic,12,Sultan Aliev,2016-12-17,UFC Fight Night: VanZant vs. Waterson
win,Max Holloway,94,2,0,1,Featherweight,KO/TKO  Punches,3,4:50,Max Holloway vs. Anthony Pettis,0,Anthony Pettis,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Anthony Pettis,53,0,0,0,Featherweight,KO/TKO  Punches,3,4:50,Max Holloway vs. Anthony Pettis,0,Max Holloway,2016-12-10,UFC 206: Holloway vs. Pettis
win,Donald Cerrone,63,0,0,0,Welterweight,KO/TKO  Kick,3,0:34,Donald Cerrone vs. Matt Brown,1,Matt Brown,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Matt Brown,70,0,1,0,Welterweight,KO/TKO  Kick,3,0:34,Donald Cerrone vs. Matt Brown,1,Donald Cerrone,2016-12-10,UFC 206: Holloway vs. Pettis
win,Cub Swanson,111,2,0,1,Featherweight,U-DEC,3,5:00,Cub Swanson vs. Dooho Choi,2,Dooho Choi,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Dooho Choi,77,1,0,0,Featherweight,U-DEC,3,5:00,Cub Swanson vs. Dooho Choi,2,Cub Swanson,2016-12-10,UFC 206: Holloway vs. Pettis
win,Kelvin Gastelum,62,0,0,0,Middleweight,KO/TKO  Punches,3,2:45,Kelvin Gastelum vs. Tim Kennedy,3,Tim Kennedy,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Tim Kennedy,45,3,0,1,Middleweight,KO/TKO  Punches,3,2:45,Kelvin Gastelum vs. Tim Kennedy,3,Kelvin Gastelum,2016-12-10,UFC 206: Holloway vs. Pettis
win,Emil Meek,50,1,1,3,Welterweight,U-DEC,3,5:00,Emil Meek vs. Jordan Mein,4,Jordan Mein,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Jordan Mein,34,3,0,1,Welterweight,U-DEC,3,5:00,Emil Meek vs. Jordan Mein,4,Emil Meek,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Nikita Krylov,16,1,0,0,Light Heavyweight,SUB  Guillotine Choke,1,4:38,Misha Cirkunov vs. Nikita Krylov,5,Misha Cirkunov,2016-12-10,UFC 206: Holloway vs. Pettis
win,Misha Cirkunov,8,2,1,0,Light Heavyweight,SUB  Guillotine Choke,1,4:38,Misha Cirkunov vs. Nikita Krylov,5,Nikita Krylov,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Drew Dober,24,0,0,0,Lightweight,SUB  Rear Naked Choke,2,2:57,Olivier Aubin-Mercier vs. Drew Dober,6,Olivier Aubin-Mercier,2016-12-10,UFC 206: Holloway vs. Pettis
win,Olivier Aubin-Mercier,27,0,1,1,Lightweight,SUB  Rear Naked Choke,2,2:57,Olivier Aubin-Mercier vs. Drew Dober,6,Drew Dober,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Valerie Letourneau,47,1,0,3,Women's Strawweight,S-DEC,3,5:00,Viviane Pereira vs. Valerie Letourneau,7,Viviane Pereira,2016-12-10,UFC 206: Holloway vs. Pettis
win,Viviane Pereira,25,1,0,1,Women's Strawweight,S-DEC,3,5:00,Viviane Pereira vs. Valerie Letourneau,7,Valerie Letourneau,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Mitch Gagnon,31,1,0,1,Bantamweight,U-DEC,3,5:00,Matthew Lopez vs. Mitch Gagnon,8,Matthew Lopez,2016-12-10,UFC 206: Holloway vs. Pettis
win,Matthew Lopez,30,5,1,4,Bantamweight,U-DEC,3,5:00,Matthew Lopez vs. Mitch Gagnon,8,Mitch Gagnon,2016-12-10,UFC 206: Holloway vs. Pettis
loss,John Makdessi,11,0,0,0,Lightweight,KO/TKO  Kick,1,1:40,Lando Vannata vs. John Makdessi,9,Lando Vannata,2016-12-10,UFC 206: Holloway vs. Pettis
win,Lando Vannata,10,0,0,0,Lightweight,KO/TKO  Kick,1,1:40,Lando Vannata vs. John Makdessi,9,John Makdessi,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Jason Saggo,19,0,0,0,Lightweight,U-DEC,3,5:00,Rustam Khabilov vs. Jason Saggo,10,Rustam Khabilov,2016-12-10,UFC 206: Holloway vs. Pettis
win,Rustam Khabilov,42,4,0,0,Lightweight,U-DEC,3,5:00,Rustam Khabilov vs. Jason Saggo,10,Jason Saggo,2016-12-10,UFC 206: Holloway vs. Pettis
win,Dustin Ortiz,34,4,0,4,Flyweight,S-DEC,3,5:00,Dustin Ortiz vs. Zach Makovsky,11,Zach Makovsky,2016-12-10,UFC 206: Holloway vs. Pettis
loss,Zach Makovsky,21,4,1,1,Flyweight,S-DEC,3,5:00,Dustin Ortiz vs. Zach Makovsky,11,Dustin Ortiz,2016-12-10,UFC 206: Holloway vs. Pettis
win,Derrick Lewis,39,1,0,1,Heavyweight,KO/TKO  Punches,4,3:42,Derrick Lewis vs. Shamil Abdurakhimov,0,Shamil Abdurakhimov,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Shamil Abdurakhimov,15,4,1,3,Heavyweight,KO/TKO  Punches,4,3:42,Derrick Lewis vs. Shamil Abdurakhimov,0,Derrick Lewis,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Francis Ngannou,1,0,1,0,Heavyweight,SUB  Kimura,1,1:57,Francis Ngannou vs. Anthony Hamilton,1,Anthony Hamilton,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Anthony Hamilton,0,1,0,0,Heavyweight,SUB  Kimura,1,1:57,Francis Ngannou vs. Anthony Hamilton,1,Francis Ngannou,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Corey Anderson,66,5,0,4,Light Heavyweight,KO/TKO  Punches,2,2:36,Corey Anderson vs. Sean O'Connell,2,Sean O'Connell,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Sean O'Connell,9,0,0,0,Light Heavyweight,KO/TKO  Punches,2,2:36,Corey Anderson vs. Sean O'Connell,2,Corey Anderson,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Gian Villante,60,0,0,0,Light Heavyweight,KO/TKO  Punches,2,2:54,Gian Villante vs. Saparbek Safarov,3,Saparbek Safarov,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Saparbek Safarov,37,0,0,0,Light Heavyweight,KO/TKO  Punches,2,2:54,Gian Villante vs. Saparbek Safarov,3,Gian Villante,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Justine Kish,51,1,1,1,Women's Strawweight,U-DEC,3,5:00,Justine Kish vs. Ashley Yoder,4,Ashley Yoder,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Ashley Yoder,44,1,0,7,Women's Strawweight,U-DEC,3,5:00,Justine Kish vs. Ashley Yoder,4,Justine Kish,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Brian Camozzi,11,0,1,0,Welterweight,KO/TKO  Knee,2,1:25,Randy Brown vs. Brian Camozzi,5,Randy Brown,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Randy Brown,42,1,0,0,Welterweight,KO/TKO  Knee,2,1:25,Randy Brown vs. Brian Camozzi,5,Brian Camozzi,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Joe Gigliotti,5,1,0,1,Middleweight,SUB  Anaconda Choke,1,4:12,Gerald Meerschaert vs. Joe Gigliotti,6,Gerald Meerschaert,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Gerald Meerschaert,14,0,1,1,Middleweight,SUB  Anaconda Choke,1,4:12,Gerald Meerschaert vs. Joe Gigliotti,6,Joe Gigliotti,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Trevor Smith,61,0,0,0,Middleweight,U-DEC,3,5:00,Andrew Sanchez vs. Trevor Smith,7,Andrew Sanchez,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Andrew Sanchez,74,0,0,0,Middleweight,U-DEC,3,5:00,Andrew Sanchez vs. Trevor Smith,7,Trevor Smith,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Tiago Trator,56,1,0,0,Featherweight,U-DEC,3,5:00,Shane Burgos vs. Tiago Trator,8,Shane Burgos,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Shane Burgos,73,1,0,2,Featherweight,U-DEC,3,5:00,Shane Burgos vs. Tiago Trator,8,Tiago Trator,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Frankie Perez,20,1,0,1,Lightweight,U-DEC,3,5:00,Marc Diakiese vs. Frankie Perez,9,Marc Diakiese,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Marc Diakiese,9,6,0,3,Lightweight,U-DEC,3,5:00,Marc Diakiese vs. Frankie Perez,9,Frankie Perez,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,Keith Berish,61,2,0,2,Middleweight,U-DEC,3,5:00,Ryan Janes vs. Keith Berish,10,Ryan Janes,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Ryan Janes,82,0,0,1,Middleweight,U-DEC,3,5:00,Ryan Janes vs. Keith Berish,10,Keith Berish,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Juliana Lima,56,4,0,2,Women's Strawweight,U-DEC,3,5:00,Juliana Lima vs. JJ Aldrich,11,JJ Aldrich,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
loss,JJ Aldrich,31,0,0,0,Women's Strawweight,U-DEC,3,5:00,Juliana Lima vs. JJ Aldrich,11,Juliana Lima,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov
win,Demetrious Johnson,28,5,3,11,Flyweight,U-DEC,5,5:00,Demetrious Johnson vs. Tim Elliott,0,Tim Elliott,2016-12-03,The Ultimate Fighter 24 Finale
loss,Tim Elliott,24,4,2,3,Flyweight,U-DEC,5,5:00,Demetrious Johnson vs. Tim Elliott,0,Demetrious Johnson,2016-12-03,The Ultimate Fighter 24 Finale
win,Joseph Benavidez,69,0,0,0,Flyweight,S-DEC,3,5:00,Joseph Benavidez vs. Henry Cejudo,1,Henry Cejudo,2016-12-03,The Ultimate Fighter 24 Finale
loss,Henry Cejudo,68,1,0,0,Flyweight,S-DEC,3,5:00,Joseph Benavidez vs. Henry Cejudo,1,Joseph Benavidez,2016-12-03,The Ultimate Fighter 24 Finale
win,Jorge Masvidal,44,0,0,0,Welterweight,KO/TKO  Punches,1,4:05,Jorge Masvidal vs. Jake Ellenberger,2,Jake Ellenberger,2016-12-03,The Ultimate Fighter 24 Finale
loss,Jake Ellenberger,11,0,0,0,Welterweight,KO/TKO  Punches,1,4:05,Jorge Masvidal vs. Jake Ellenberger,2,Jorge Masvidal,2016-12-03,The Ultimate Fighter 24 Finale
win,Jared Cannonier,59,0,0,1,Light Heavyweight,U-DEC,3,5:00,Jared Cannonier vs. Ion Cutelaba,3,Ion Cutelaba,2016-12-03,The Ultimate Fighter 24 Finale
loss,Ion Cutelaba,45,6,0,2,Light Heavyweight,U-DEC,3,5:00,Jared Cannonier vs. Ion Cutelaba,3,Jared Cannonier,2016-12-03,The Ultimate Fighter 24 Finale
win,Sara McMann,14,2,1,2,Women's Bantamweight,SUB  Arm Triangle,2,2:52,Sara McMann vs. Alexis Davis,4,Alexis Davis,2016-12-03,The Ultimate Fighter 24 Finale
loss,Alexis Davis,21,0,1,0,Women's Bantamweight,SUB  Arm Triangle,2,2:52,Sara McMann vs. Alexis Davis,4,Sara McMann,2016-12-03,The Ultimate Fighter 24 Finale
loss,Ryan Benoit,23,0,0,0,Flyweight,S-DEC,3,5:00,Brandon Moreno vs. Ryan Benoit,5,Brandon Moreno,2016-12-03,The Ultimate Fighter 24 Finale
win,Brandon Moreno,54,5,0,1,Flyweight,S-DEC,3,5:00,Brandon Moreno vs. Ryan Benoit,5,Ryan Benoit,2016-12-03,The Ultimate Fighter 24 Finale
loss,Gray Maynard,12,0,0,0,Featherweight,U-DEC,3,5:00,Ryan Hall vs. Gray Maynard,6,Ryan Hall,2016-12-03,The Ultimate Fighter 24 Finale
win,Ryan Hall,46,0,0,0,Featherweight,U-DEC,3,5:00,Ryan Hall vs. Gray Maynard,6,Gray Maynard,2016-12-03,The Ultimate Fighter 24 Finale
loss,Matt Schnell,14,0,0,0,Bantamweight,KO/TKO  Punch,1,3:47,Rob Font vs. Matt Schnell,7,Rob Font,2016-12-03,The Ultimate Fighter 24 Finale
win,Rob Font,26,1,1,1,Bantamweight,KO/TKO  Punch,1,3:47,Rob Font vs. Matt Schnell,7,Matt Schnell,2016-12-03,The Ultimate Fighter 24 Finale
loss,Brendan O'Reilly,25,0,1,1,Lightweight,U-DEC,3,5:00,Dong Hyun Kim vs. Brendan O'Reilly,8,Dong Hyun Kim,2016-12-03,The Ultimate Fighter 24 Finale
win,Dong Hyun Kim,21,4,0,8,Lightweight,U-DEC,3,5:00,Dong Hyun Kim vs. Brendan O'Reilly,8,Brendan O'Reilly,2016-12-03,The Ultimate Fighter 24 Finale
loss,Kailin Curran,47,0,1,0,Women's Strawweight,U-DEC,3,5:00,Jamie Moyle vs. Kailin Curran,9,Jamie Moyle,2016-12-03,The Ultimate Fighter 24 Finale
win,Jamie Moyle,73,3,0,2,Women's Strawweight,U-DEC,3,5:00,Jamie Moyle vs. Kailin Curran,9,Kailin Curran,2016-12-03,The Ultimate Fighter 24 Finale
loss,Elvis Mutapcic,29,0,0,0,Middleweight,KO/TKO  Elbow,2,3:27,Anthony Smith vs. Elvis Mutapcic,10,Anthony Smith,2016-12-03,The Ultimate Fighter 24 Finale
win,Anthony Smith,48,0,1,0,Middleweight,KO/TKO  Elbow,2,3:27,Anthony Smith vs. Elvis Mutapcic,10,Elvis Mutapcic,2016-12-03,The Ultimate Fighter 24 Finale
win,Devin Clark,47,1,0,1,Light Heavyweight,U-DEC,3,5:00,Devin Clark vs. Josh Stansbury,11,Josh Stansbury,2016-12-03,The Ultimate Fighter 24 Finale
loss,Josh Stansbury,36,0,2,0,Light Heavyweight,U-DEC,3,5:00,Devin Clark vs. Josh Stansbury,11,Devin Clark,2016-12-03,The Ultimate Fighter 24 Finale
win,Robert Whittaker,33,0,0,0,Middleweight,KO/TKO  Kick,1,4:07,Robert Whittaker vs. Derek Brunson,0,Derek Brunson,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Derek Brunson,19,0,0,0,Middleweight,KO/TKO  Kick,1,4:07,Robert Whittaker vs. Derek Brunson,0,Robert Whittaker,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Andrew Holbrook,30,2,3,1,Lightweight,S-DEC,3,5:00,Andrew Holbrook vs. Jake Matthews,1,Jake Matthews,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Jake Matthews,22,3,0,0,Lightweight,S-DEC,3,5:00,Andrew Holbrook vs. Jake Matthews,1,Andrew Holbrook,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Omari Akhmedov,23,3,0,2,Welterweight,U-DEC,3,5:00,Omari Akhmedov vs. Kyle Noke,2,Kyle Noke,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Kyle Noke,16,0,0,0,Welterweight,U-DEC,3,5:00,Omari Akhmedov vs. Kyle Noke,2,Omari Akhmedov,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Alexander Volkanovski,50,3,0,0,Lightweight,KO/TKO  Punches,2,2:06,Alexander Volkanovski vs. Yusuke Kasuya,3,Yusuke Kasuya,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Yusuke Kasuya,4,1,0,1,Lightweight,KO/TKO  Punches,2,2:06,Alexander Volkanovski vs. Yusuke Kasuya,3,Alexander Volkanovski,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Tyson Pedro,4,2,1,3,Light Heavyweight,SUB  Rear Naked Choke,1,4:07,Tyson Pedro vs. Khalil Rountree Jr.,4,Khalil Rountree Jr.,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Khalil Rountree Jr.,3,0,0,0,Light Heavyweight,SUB  Rear Naked Choke,1,4:07,Tyson Pedro vs. Khalil Rountree Jr.,4,Tyson Pedro,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Danielle Taylor,45,0,0,0,Women's Strawweight,S-DEC,3,5:00,Danielle Taylor vs. Seohee Ham,5,Seohee Ham,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Seohee Ham,31,0,0,1,Women's Strawweight,S-DEC,3,5:00,Danielle Taylor vs. Seohee Ham,5,Danielle Taylor,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Chris Camozzi,56,0,0,0,Middleweight,U-DEC,3,5:00,Daniel Kelly vs. Chris Camozzi,6,Daniel Kelly,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Daniel Kelly,39,4,0,4,Middleweight,U-DEC,3,5:00,Daniel Kelly vs. Chris Camozzi,6,Chris Camozzi,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Damien Brown,34,0,1,0,Lightweight,S-DEC,3,5:00,Damien Brown vs. Jon Tuck,7,Jon Tuck,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Jon Tuck,39,0,0,1,Lightweight,S-DEC,3,5:00,Damien Brown vs. Jon Tuck,7,Damien Brown,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Richard Walsh,18,2,1,0,Welterweight,U-DEC,3,5:00,Jonathan Meunier vs. Richard Walsh,8,Jonathan Meunier,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Jonathan Meunier,74,1,0,2,Welterweight,U-DEC,3,5:00,Jonathan Meunier vs. Richard Walsh,8,Richard Walsh,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Geane Herrera,22,1,0,0,Flyweight,U-DEC,3,5:00,Ben Nguyen vs. Geane Herrera,9,Ben Nguyen,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Ben Nguyen,105,0,0,0,Flyweight,U-DEC,3,5:00,Ben Nguyen vs. Geane Herrera,9,Geane Herrera,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Dan Hooker,47,0,0,0,Featherweight,U-DEC,3,5:00,Jason Knight vs. Dan Hooker,10,Jason Knight,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Jason Knight,59,4,4,1,Featherweight,U-DEC,3,5:00,Jason Knight vs. Dan Hooker,10,Dan Hooker,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Ning Guangyou,46,0,0,3,Featherweight,U-DEC,3,5:00,Marlon Vera vs. Ning Guangyou,11,Marlon Vera,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Marlon Vera,36,1,2,2,Featherweight,U-DEC,3,5:00,Marlon Vera vs. Ning Guangyou,11,Ning Guangyou,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Jenel Lausa,56,1,1,0,Flyweight,U-DEC,3,5:00,Jenel Lausa vs. Yao Zhikui,12,Yao Zhikui,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
loss,Yao Zhikui,29,1,0,0,Flyweight,U-DEC,3,5:00,Jenel Lausa vs. Yao Zhikui,12,Jenel Lausa,2016-11-26,UFC Fight Night: Whittaker vs. Brunson
win,Ryan Bader,86,5,1,9,Light Heavyweight,KO/TKO  Punches,3,3:51,Ryan Bader vs. Rogerio Nogueira,0,Rogerio Nogueira,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Rogerio Nogueira,3,0,0,0,Light Heavyweight,KO/TKO  Punches,3,3:51,Ryan Bader vs. Rogerio Nogueira,0,Ryan Bader,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Thomas Almeida,41,0,0,0,Bantamweight,KO/TKO  Punches,2,1:37,Thomas Almeida vs. Albert Morales,1,Albert Morales,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Albert Morales,18,1,0,1,Bantamweight,KO/TKO  Punches,2,1:37,Thomas Almeida vs. Albert Morales,1,Thomas Almeida,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Claudia Gadelha,34,6,1,2,Women's Strawweight,U-DEC,3,5:00,Claudia Gadelha vs. Cortney Casey,2,Cortney Casey,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Cortney Casey,22,0,0,0,Women's Strawweight,U-DEC,3,5:00,Claudia Gadelha vs. Cortney Casey,2,Claudia Gadelha,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Krzysztof Jotko,42,1,0,5,Middleweight,U-DEC,3,5:00,Krzysztof Jotko vs. Thales Leites,3,Thales Leites,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Thales Leites,4,1,1,2,Middleweight,U-DEC,3,5:00,Krzysztof Jotko vs. Thales Leites,3,Krzysztof Jotko,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Kamaru Usman,71,1,1,2,Welterweight,U-DEC,3,5:00,Kamaru Usman vs. Warlley Alves,4,Warlley Alves,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Warlley Alves,25,0,1,0,Welterweight,U-DEC,3,5:00,Kamaru Usman vs. Warlley Alves,4,Kamaru Usman,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Zak Ottow,44,0,0,0,Welterweight,S-DEC,3,5:00,Sergio Moraes vs. Zak Ottow,5,Sergio Moraes,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Sergio Moraes,35,1,0,1,Welterweight,S-DEC,3,5:00,Sergio Moraes vs. Zak Ottow,5,Zak Ottow,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Jack Hermansson,14,0,0,0,Middleweight,SUB  Arm Triangle,2,2:11,Cezar Ferreira vs. Jack Hermansson,6,Cezar Ferreira,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Cezar Ferreira,10,1,1,2,Middleweight,SUB  Arm Triangle,2,2:11,Cezar Ferreira vs. Jack Hermansson,6,Jack Hermansson,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Marcos Rogerio de Lima,2,0,0,0,Light Heavyweight,SUB  Guillotine Choke,1,1:07,Gadzhimurad Antigulov vs. Marcos Rogerio de Lima,7,Gadzhimurad Antigulov,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Gadzhimurad Antigulov,0,1,1,1,Light Heavyweight,SUB  Guillotine Choke,1,1:07,Gadzhimurad Antigulov vs. Marcos Rogerio de Lima,7,Marcos Rogerio de Lima,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Manvel Gamburyan,11,0,0,0,Bantamweight,KO/TKO  Punch,2,0:46,Johnny Eduardo vs. Manvel Gamburyan,8,Johnny Eduardo,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Johnny Eduardo,26,0,0,0,Bantamweight,KO/TKO  Punch,2,0:46,Johnny Eduardo vs. Manvel Gamburyan,8,Manvel Gamburyan,2016-11-19,UFC Fight Night: Bader vs. Nogueira
loss,Christian Colombo,3,0,0,0,Heavyweight,SUB  Guillotine Choke,3,2:12,Luis Henrique vs. Christian Colombo,9,Luis Henrique,2016-11-19,UFC Fight Night: Bader vs. Nogueira
win,Luis Henrique,31,6,2,4,Heavyweight,SUB  Guillotine Choke,3,2:12,Luis Henrique vs. Christian Colombo,9,Christian Colombo,2016-11-19,UFC Fight Night: Bader vs. Nogueira
